Year,Song Title,Artist,Secondary Artist,"Organization of Backbeat (2, 3)",Kick / Snare Rate (in BPM),"1st Level Subdivision (2, 3)","2nd Level Subdivision (0, 2, 3)",Tempo of Swung Layer
1973,You've Never Been This Far Before,Conway Twitty,,2,133,3,0,133
1973,The Most Beautiful Girl,Charlie Rich,,2,103,2,2,
1973,She's Got To Be A Saint,Ray Price,,2,89,3,0,89
1973,She Needs Someone To Hold Her (When She Cries),Conway Twitty,,2,110,3,0,110
1973,The Teddy Bear Song,Barbara Fairchild,,2,138,2,2,
1973,Behind Closed Doors,Charlie Rich,,2,84,3,0,84
1973,Love Is The Foundation,Loretta Lynn,,2,92,2,2,
1973,Everybody's Had The Blues,Merle Haggard,,2,105,3,0,105
1973,Ridin' My Thumb To Mexico,Johnny Rodriguez,,2,180,2,2,
1974,A Very Special Love Song,Charlie Rich,,2,77,2,3,154
1974,If We Make It Through December,Merle Haggard,,2,190,3,0,190
1974,I Love,Tom T. Hall,,2,91,2,2,
1974,Another Lonely Song,Tammy Wynette,,2,77,2,2,
1974,There Won't Be Anymore,Charlie Rich,,2,103,3,0,103
1974,He Thinks I Still Care,Anne Murray,,2,102,3,0,102
1974,Rub It In,"Billy ""Crash"" Craddock",,2,116,2,2,
1974,Please Don't Tell Me How The Story Ends,Ronnie Milsap,,2,84,2,2,
1974,I See The Want To In Your Eyes,Conway Twitty,,2,97,2,2,
1974,I Can Help,Billy Swan,,2,125,3,2,125
1975,Rhinestone Cowboy,Glen Campbell,,2,115,2,2,
1975,Before The Next Teardrop Falls,Freddy Fender,,2,92,2,2,
1975,Always Wanting You,Merle Haggard,,2,97,2,2,
1975,Touch The Hand,Conway Twitty,,3,81,3,0,81
1975,Wasted Days And Wasted Nights,Freddy Fender,,2,89,3,2,89
1975,Daydreams About Night Things,Ronnie Milsap,,2,139,2,2,
1975,Blue Eyes Crying In The Rain,Willie Nelson,,2,118,3,0,118
1975,Convoy,C. W. McCall,,2,112,2,2,
1975,The Door,George Jones,,2,88,3,0,88
1975,Ruby Baby,"Billy ""Crash"" Craddock",,2,127,3,0,127
1976,Good Hearted Woman,Waylon Jennings,Willie Nelson,2,207,2,2,
1976,Teddy Bear,Red Sovine,,2,112,3,0,112
1976,One Piece At A Time,Johnny Cash,,2,202,3,0,202
1976,El Paso City,Marty Robbins,,2,107,2,2,
1976,(I'm A) Stand By My Woman Man,Ronnie Milsap,,2,120,3,0,120
1976,I Don't Want To Have To Marry You,Jim Ed Brown,Helen Cornelius,2,78,3,0,78
1976,You And Me,Tammy Wynette,,2,77,2,2,
1976,Somebody Somewhere (Don't Know What He's Missin' Tonight),Loretta Lynn,,2,96,3,0,96
1976,Good Woman Blues,Mel Tillis,,2,218,3,0,218
1976,Thinkin' Of A Rendezvous,Johnny Duncan,,2,128,2,2,
1977,"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings,,2,103,2,2,
1977,Here You Come Again,Dolly Parton,,2,106,3,2,106
1977,Don't Make It Brown My Eyes Blue,Crystal Gayle,,2,84,3,0,84
1977,Heaven's Just A Sin Away,The Kendalls,,2,155,3,0,155
1977,It Was Almost Like A Song,Ronnie Milsap,,2,74,2,2,
1977,Near You,George Jones,Tammy Wynette,2,98,3,0,98
1977,Southern Nights,Glen Campbell,,2,95,2,3,190
1977,Lucille,Kenny Rogers,,3,142,3,0,142
1977,Rollin' With The Flow,Charlie Rich,,2,95,2,2,
1977,The Wurlitzer Prize (I Don't Want To Get Over You),Waylon Jennings,,2,117,3,0,117
1978,Mammas Don't Let Your Babies Grow Up To Be Cowboys,Waylon Jennings,Willie Nelson,2,63,3,3,188
1978,Only One Love In My Life,Ronnie Milsap,,2,87,2,2,
1978,I've Always Been Crazy,Waylon Jennings,,2,110,2,3,220
1978,Heartbreaker,Dolly Parton,,2,68,2,2,
1978,Sleeping Single In A Double Bed,Barbara Mandrell,,2,139,2,2,
1978,The Gambler,Kenny Rogers,,2,88,2,3,176
1978,Take This Job And Shove It,Johnny Paycheck,,2,137,3,0,137
1978,Out Of My Head And Back In My Bed,Loretta Lynn,,2,133,3,0,133
1978,Don't Break The Heart That Loves You,Margo Smith,,2,81,3,0,81
1978,Someone Loves You Honey,Charley Pride,,2,76,2,2,
1979,Every Which Way But Loose,Eddie Rabbitt,,2,66,2,2,
1979,Golden Tears,Dave & Sugar,,2,90,2,3,90
1979,I Just Fall In Love Again,Anne Murray,,2,66,2,2,
1979,If I Said You Had A Beautiful Body Would You Hold It Against Me,The Bellamy Brothers,,2,117,2,2,
1979,Amanda,Waylon Jennings,,3,126,3,0,126
1979,Happy Birthday Darlin',Conway Twitty,,2,91,2,2,
1979,Why Have You Left The One You Left Me For,Crystal Gayle,,2,146,2,2,
1979,She Believes In Me,Kenny Rogers,,2,74,2,2,
1979,You're The Only One,Dolly Parton,,2,62,2,2,
1979,Last Cheater's Waltz,T. G. Sheppard,,3,98,3,0,98
1980,Coward Of The County,Kenny Rogers,,2,91,2,3,182
1980,My Heart,Ronnie Milsap,,2,96,2,2,
1980,Lookin' For Love,Johnny Lee,,2,124,2,2,
1980,I'll Be Coming Back For More,T. G. Sheppard,,2,92,2,2,
1980,My Heroes Have Always Been Cowboys,Willie Nelson,,3,115,3,0,115
1980,I Believe In You,Don Williams,,2,79,3,0,79
1980,Leaving Louisiana In The Broad Daylight,The Oak Ridge Boys,,2,96,2,3,192
1980,Love Me Over Again,Don Williams,,2,99,2,2,
1980,Years,Barbara Mandrell,,2,82,2,2,
1980,I Ain't Living Long Like This,Waylon Jennings,,2,145,2,2,
1981,Feels So Right,Alabama,,2,90,2,2,
1981,I Don't Need You,Kenny Rogers,,2,68,2,2,
1981,(There's) No Gettin' Over Me,Ronnie Milsap,,2,100,2,2,
1981,Never Been So Loved (In All My Life),Charley Pride,,2,100,2,2,
1981,One In A Million,Johnny Lee,,2,120,2,2,
1981,I Think I'll Just Stay Here And Drink,Merle Haggard,,2,86,2,2,
1981,I Love A Rainy Night,Eddie Rabbitt,,2,131,3,0,131
1981,9 To 5,Dolly Parton,,2,105,2,2,
1981,I Feel Like Loving You Again,T. G. Sheppard,,2,63,2,2,
1981,I Keep Coming Back,Razzy Bailey,,2,69,2,2,
1982,Always On My Mind,Willie Nelson,,2,73,2,2,
1982,Just To Satisfy You,Waylon Jennings,Willie Nelson,2,149,2,2,
1982,Slow Hand,Conway Twitty,,2,107,2,2,
1982,She Got The Goldmine (I Got The Shaft),Jerry Reed,,2,222,2,2,
1982,Love In The First Degree / Ride The Train,Alabama,,2,104,2,2,
1982,Fourteen Carat Mind,Gene Watson,,2,194,2,2,
1982,I Wouldn't Have Missed It For The World,Ronnie Milsap,,2,114,2,2,
1982,Red Neckin' Love Makin' Night,Conway Twitty,,2,183,3,0,183
1982,The Sweetest Thing (I've Ever Known),Juice Newton,,2,77,2,2,
1982,Lonely Nights,Mickey Gilley,,2,78,2,2,
1983,Islands In The Stream,Kenny Rogers,,2,102,2,2,
1983,Houston (Means I'm One Day Closer To You),Larry Gatlin and the Gatlin Brothers,,2,143,3,0,143
1983,Wild And Blue,John Anderson,,2,52,3,3,157
1983,Can't Even Get The Blues,Reba McEntire,,2,122,2,2,
1983,Going Where The Lonely Go,Merle Haggard,,2,79,2,2,
1983,(Lost His Love) On Our Last Date,Emmylou Harris,,2,64,3,2,64
1983,Talk To Me,Mickey Gilley,,2,74,3,2,74
1983,Inside,Ronnie Milsap,,2,96,2,2,
1983,Til I Gain Control Again,Crystal Gayle,,2,99,2,2,
1983,Faking Love,T. G. Sheppard,Karen Brooks,2,75,2,2,
1984,To All The Girls I've Loved Before,Julio Iglesias,Willie Nelson,2,82,2,2,
1984,Why Not Me,The Judds,,2,126,2,2,
1984,You Look So Good In Love,George Strait,,3,115,3,0,115
1984,Slow Burn,T. G. Sheppard,,2,105,2,2,
1984,In My Eyes,John Conlee,,2,68.5,2,2,
1984,The Sound Of Goodbye,Crystal Gayle,,2,104,2,2,
1984,Show Her,Ronnie Milsap,,2,69,2,2,
1984,That's The Way Love Goes,Merle Haggard,,2,99,2,2,
1984,Don't Cheat In Our Hometown,Ricky Skaggs,,2,125,3,0,125
1984,Stay Young,Don Williams,,2,89,2,3,178
1985,Lost In The Fifties Tonight (In The Still Of The Night),Ronnie Milsap,,2,57,3,2,57
1985,Does Fort Worth Ever Cross Your Mind,George Strait,,2,112,3,0,112
1985,The Best Year Of My Life,Eddie Rabbitt,,2,72,2,2,
1985,How Blue,Reba McEntire,,2,87,2,3,174
1985,(There's A) Fire In The Night,Alabama,,2,128,2,2,
1985,A Place To Fall Apart,Merle Haggard,,2,72,2,3,144
1985,Ain't She Somethin' Else,Conway Twitty,,2,91,2,2,
1985,Make My Life With You,The Oak Ridge Boys,,2,73,2,2,
1985,Baby's Got Her Blue Jeans On,Mel McDaniel,,2,107,2,2,
1985,Baby Bye Bye,Gary Morris,,2,123,2,2,
1986,Mind Your Own Business,Hank Williams Jr.,Reba McEntire,2,164,3,0,164
1986,Have Mercy,The Judds,,2,123,2,2,
1986,Morning Desire,Kenny Rogers,,2,84,2,2,
1986,Bop,Dan Seals,,2,124,2,2,
1986,Never Be You,Rosanne Cash,,2,112,2,2,
1986,Just In Case,The Forester Sisters,,2,208,3,0,208
1986,Hurt,Juice Newton,,2,58.5,3,2,58.5
1986,Makin' Up For Lost Time (The Dallas Lovers' Song),Crystal Gayle,Gary Morris,2,112,2,2,
1986,There's No Stopping Your Heart,Marie Osmond,,2,117,2,2,
1986,You Can Dream Of Me,Steve Wariner,,2,110,2,2,
1987,Forever And Ever Amen,Randy Travis,,2,180,2,2,
1987,Give Me Wings,Michael Johnson,,2,77,2,2,
1987,What Am I Gonna Do About You,Reba McEntire,,2,79,2,2,
1987,Cry Myself To Sleep,The Judds,,2,115,2,2,
1987,You Still Move Me,Dan Seals,,2,61,2,2,
1987,Leave Me Lonely,Gary Morris,,2,56.5,2,2,
1987,How Do I Turn You On,Ronnie Milsap,,2,90,2,2,
1987,Straight To The Heart,Crystal Gayle,,2,174,3,0,174
1987,I Can't Win For Losin' You,Earl Thomas Conley,,2,65,3,2,65
1987,Mornin' Ride,Lee Greenwood,,2,84,2,3,168
1988,Eighteen Wheels And A Dozen Roses,Kathy Mattea,,2,139,2,2,
1988,I Told You So,Randy Travis,,2,79,2,2,
1988,I'll Leave This World Loving You,Ricky Van Shelton,,2,87,2,2,
1988,When You Say Nothing At All,Keith Whitley,,2,80,2,2,
1988,Somewhere Tonight,Highway 101,,2,130,3,0,130
1988,I Can't Get Close Enough,Exile,,2,118,2,2,
1988,One Friend,Dan Seals,,2,63,2,2,
1988,Where Do The Nights Go,Ronnie Milsap,,2,73,2,2,
1988,Goin' Gone,Kathy Mattea,,2,130,2,2,
1988,Wheels,Restless Heart,,2,146,2,2,
1989,I'm No Stranger To The Rain,Keith Whitley,,2,88,2,2,
1989,The Church On Cumberland Road,Shenandoah,,2,150,2,2,
1989,Hold Me,K. T. Oslin,,2,88,2,2,
1989,Change Of Heart,The Judds,,2,54,3,3,162
1989,She's Crazy For Leavin',Rodney Crowell,,2,189,3,0,189
1989,Deeper Than The Holler,Randy Travis,,2,143,2,2,
1989,What I'd Say,Earl Thomas Conley,,2,59,2,2,
1989,Song Of The South,Alabama,,2,81,2,2,
1989,Big Wheels In The Moonlight,Dan Seals,,2,134,2,2,
1989,I Sang Dixie,Dwight Yoakam,,2,115,2,2,
1990,Love Without End Amen,George Strait,,2,88,2,2,
1990,Hard Rock Bottom Of Your Heart,Randy Travis,,2,164,2,2,
1990,Jukebox In My Mind,Alabama,,2,115,3,2,115
1990,Friends In Low Places,Garth Brooks,,2,109,2,2,
1990,I've Come To Expect It From You,George Strait,,2,153,2,2,
1990,Nobody's Home,Clint Black,,2,105,2,2,
1990,Love On Arrival,Dan Seals,,2,196,2,2,
